       1448,           0, 1
       -120,         463, 1
        -99,         219, 1
        -94,         135, 1
        -93,          91, 1
        -90,          61, 1
        -90,          38, 1
        -94,          17, 1
        -94,           0, 1
        -92,         -17, 1
        -89,         -37, 1
        -92,         -59, 1
        -93,         -91, 1
        -94,        -135, 1
        -98,        -220, 1
       -116,        -465, 1
       3664,           0, 1
       -101,         186, 1
        -55,          88, 1
        -44,          56, 1
        -42,          36, 1
        -38,          27, 1
        -40,          15, 1
        -42,           8, 1
        -40,           0, 1
        -39,          -6, 1
        -39,         -14, 1
        -38,         -26, 1
        -42,         -36, 1
        -42,         -55, 1
        -54,         -89, 1
        -96,        -190, 1
       3701,           0, 1
        -23,        -203, 1
         25,         -96, 1
         30,         -60, 1
         34,         -39, 1
         39,         -27, 1
         36,         -17, 1
         36,          -8, 1
         35,           0, 1
         37,           9, 1
         37,          18, 1
         38,          28, 1
         34,          39, 1
         31,          61, 1
         26,          95, 1
        -20,         200, 1
       1540,           0, 1
         64,        -472, 1
         85,        -224, 1
         87,        -139, 1
         90,         -92, 1
         92,         -62, 1
         92,         -37, 1
         91,         -17, 1
         92,           0, 1
         94,          18, 1
         93,          38, 1
         93,          63, 1
         90,          92, 1
         90,         140, 1
         86,         223, 1
         69,         469, 1
      -1540,           0, 1
        114,        -464, 1
         96,        -219, 1
         93,        -136, 1
         92,         -90, 1
         93,         -59, 1
         91,         -38, 1
         91,         -20, 1
         92,           0, 1
         94,          22, 1
         92,          39, 1
         93,          60, 1
         92,          90, 1
         95,         137, 1
         97,         218, 1
        119,         460, 1
      -3701,           0, 1
         93,        -181, 1
         48,         -86, 1
         40,         -53, 1
         39,         -34, 1
         41,         -23, 1
         37,         -13, 1
         37,          -6, 1
         35,           0, 1
         37,           7, 1
         38,          14, 1
         40,          25, 1
         39,          34, 1
         41,          53, 1
         49,          85, 1
         95,         178, 1
      -3664,           0, 1
         14,         210, 1
        -26,         101, 1
        -36,          61, 1
        -36,          42, 1
        -39,          27, 1
        -39,          18, 1
        -40,           7, 1
        -40,           0, 1
        -38,          -8, 1
        -38,         -17, 1
        -38,         -25, 1
        -36,         -42, 1
        -33,         -61, 1
        -25,        -102, 1
         18,        -211, 1
      -1448,           0, 1
        -73,         472, 1
        -88,         224, 1
        -90,         137, 1
        -91,          93, 1
        -90,          63, 1
        -91,          37, 1
        -93,          20, 1
        -94,           0, 1
        -93,         -18, 1
        -90,         -36, 1
        -90,         -61, 1
        -91,         -93, 1
        -88,        -137, 1
        -87,        -225, 1
        -71,        -476, 1
       1448,           0, 1
       -120,         463, 1
        -99,         219, 1
        -94,         135, 1
        -93,          91, 1
        -90,          61, 1
        -90,          38, 1
        -94,          17, 1
        -94,           0, 1
        -92,         -17, 1
        -89,         -37, 1
        -92,         -59, 1
        -93,         -91, 1
        -94,        -135, 1
        -98,        -220, 1
       -116,        -465, 1
       3664,           0, 1
       -101,         186, 1
        -55,          88, 1
        -44,          56, 1
        -42,          36, 1
        -38,          27, 1
        -40,          15, 1
        -42,           8, 1
        -40,           0, 1
        -39,          -6, 1
        -39,         -14, 1
        -38,         -26, 1
        -42,         -36, 1
        -42,         -55, 1
        -54,         -89, 1
        -96,        -190, 1
       3701,           0, 1
        -23,        -203, 1
         25,         -96, 1
         30,         -60, 1
         34,         -39, 1
         39,         -27, 1
         36,         -17, 1
         36,          -8, 1
         35,           0, 1
         37,           9, 1
         37,          18, 1
         38,          28, 1
         34,          39, 1
         31,          61, 1
         26,          95, 1
        -20,         200, 1
       1540,           0, 1
         64,        -472, 1
         85,        -224, 1
         87,        -139, 1
         90,         -92, 1
         92,         -62, 1
         92,         -37, 1
         91,         -17, 1
         92,           0, 1
         94,          18, 1
         93,          38, 1
         93,          63, 1
         90,          92, 1
         90,         140, 1
         86,         223, 1
         69,         469, 1
      -1540,           0, 1
        114,        -464, 1
         96,        -219, 1
         93,        -136, 1
         92,         -90, 1
         93,         -59, 1
         91,         -38, 1
         91,         -20, 1
         92,           0, 1
         94,          22, 1
         92,          39, 1
         93,          60, 1
         92,          90, 1
         95,         137, 1
         97,         218, 1
        119,         460, 1
      -3701,           0, 1
         93,        -181, 1
         48,         -86, 1
         40,         -53, 1
         39,         -34, 1
         41,         -23, 1
         37,         -13, 1
         37,          -6, 1
         35,           0, 1
         37,           7, 1
         38,          14, 1
         40,          25, 1
         39,          34, 1
         41,          53, 1
         49,          85, 1
         95,         178, 1
      -3664,           0, 1
         14,         210, 1
        -26,         101, 1
        -36,          61, 1
        -36,          42, 1
        -39,          27, 1
        -39,          18, 1
        -40,           7, 1
        -40,           0, 1
        -38,          -8, 1
        -38,         -17, 1
        -38,         -25, 1
        -36,         -42, 1
        -33,         -61, 1
        -25,        -102, 1
         18,        -211, 1
      -1448,           0, 1
        -73,         472, 1
        -88,         224, 1
        -90,         137, 1
        -91,          93, 1
        -90,          63, 1
        -91,          37, 1
        -93,          20, 1
        -94,           0, 1
        -93,         -18, 1
        -90,         -36, 1
        -90,         -61, 1
        -91,         -93, 1
        -88,        -137, 1
        -87,        -225, 1
        -71,        -476, 1
