      14873,      -6880
      10672,     -12437
       4624,     -15722
      -2158,     -16246
      -8492,     -14016
     -13356,      -9495
     -16010,      -3501
     -16116,       2970
     -13753,       8910
      -9367,      13447
      -3676,      15970
       2465,      16201
       8185,      14197
      12738,      10311
      15564,       5133
      16375,       -624
      15160,      -6229
      12139,     -11009
       7749,     -14441
       2548,     -16190
      -2857,     -16136
      -7879,     -14369
     -12014,     -11148
     -14884,      -6861
     -16270,      -1979
     -16110,       3009
     -14494,       7648
     -11636,      11539
      -7838,      14391
      -3473,      16015
       1093,      16353
       5498,      15438
       9419,      13410
      12602,      10474
      14874,       6879
      16127,       2910
      16345,      -1168
      15574,      -5093
      13922,      -8644
      11533,     -11646
       8582,     -13965
       5260,     -15521
       1759,     -16292
      -1741,     -16295
      -5083,     -15579
      -8132,     -14226
     -10782,     -12340
     -12959,     -10034
     -14610,      -7425
     -15721,      -4638
     -16291,      -1772
     -16355,       1062
     -15944,       3787
     -15118,       6325
     -13934,       8624
     -12457,      10649
     -10753,      12367
      -8883,      13772
      -6910,      14861
      -4886,      15641
      -2857,      16136
       -863,      16365
       1052,      16355
       2877,      16133
       4584,      15733
       6161,      15186
       7600,      14519
       8901,      13758
      10058,      12938
      11078,      12076
      11971,      11193
      12737,      10312
      13391,       9447
      13944,       8609
      14403,       7816
      14784,       7069
      15093,       6385
      15341,       5765
      15536,       5212
      15689,       4736
      15804,       4335
      15890,       4011
      15950,       3765
      15986,       3605
      16004,       3523
      16004,       3523
      15986,       3605
      15950,       3765
      15890,       4011
      15804,       4335
      15689,       4736
      15536,       5212
      15341,       5765
      15093,       6385
      14784,       7069
      14403,       7816
      13944,       8609
      13391,       9447
      12737,      10312
      11971,      11193
      11078,      12076
      10058,      12938
       8901,      13758
       7600,      14519
       6161,      15186
       4584,      15733
       2877,      16133
       1052,      16355
       -863,      16365
      -2857,      16136
      -4886,      15641
      -6910,      14861
      -8883,      13772
     -10753,      12367
     -12457,      10649
     -13934,       8624
     -15118,       6325
     -15944,       3787
     -16355,       1062
     -16291,      -1772
     -15721,      -4638
     -14610,      -7425
     -12959,     -10034
     -10782,     -12340
      -8132,     -14226
      -5083,     -15579
      -1741,     -16295
       1759,     -16292
       5260,     -15521
       8582,     -13965
      11533,     -11646
      13922,      -8644
      15574,      -5093
      16345,      -1168
      16127,       2910
      14874,       6879
      12602,      10474
       9419,      13410
       5498,      15438
       1093,      16353
      -3473,      16015
      -7838,      14391
     -11636,      11539
     -14494,       7648
     -16110,       3009
     -16270,      -1979
     -14884,      -6861
     -12014,     -11148
      -7879,     -14369
      -2857,     -16136
       2548,     -16190
       7749,     -14441
      12139,     -11009
      15160,      -6229
      16375,       -624
      15564,       5133
      12738,      10311
       8185,      14197
       2465,      16201
      -3676,      15970
      -9367,      13447
     -13753,       8910
     -16116,       2970
     -16010,      -3501
     -13356,      -9495
      -8492,     -14016
      -2158,     -16246
       4624,     -15722
      10672,     -12437
      14873,      -6880
       9952,          0
      14840,       6953
      10416,      12653
       3900,      15915
      -3473,      16015
     -10205,      12823
     -14867,       6895
     -16380,       -562
     -14316,      -7978
      -9027,     -13681
      -1617,     -16308
       6240,     -15156
      12684,     -10376
      16105,      -3035
      15564,       5133
      11079,      12075
       3696,      15966
      -4723,      15693
     -11957,      11208
     -15981,       3626
     -15597,      -5034
     -10783,     -12338
      -2818,     -16144
       6049,     -15233
      13171,      -9752
      16339,      -1252
      14463,       7705
       8005,      14299
      -1071,      16355
      -9877,      13077
     -15462,       5430
     -15865,      -4114
     -10815,     -12313
      -1952,     -16272
       7674,     -14481
      14599,      -7443
      16216,       2370
      11799,      11373
       2879,      16133
      -7207,      14718
     -14551,       7538
     -16168,      -2681
     -11279,     -11890
      -1744,     -16295
       8582,     -13965
      15356,      -5727
      15602,       5013
       9077,      13644
      -1491,      16320
     -11457,      11717
     -16290,       1774
     -13664,      -9046
      -4647,     -15716
       6622,     -14992
      14785,      -7070
      15804,       4333
       9043,      13668
      -2277,      16228
     -12509,      10587
     -16380,       -518
     -11755,     -11420
       -909,     -16363
      10479,     -12598
      16263,      -2003
      13172,       9749
       2754,      16156
      -9265,      13517
     -16079,       3176
     -13664,      -9046
      -3267,     -16056
       9109,     -13625
      16105,      -3035
      13392,       9445
       2467,      16201
     -10038,      12953
     -16312,       1567
     -12266,     -10868
       -326,     -16387
      11881,     -11288
      16343,       1246
       9961,      13014
      -3141,      16085
     -14169,       8233
     -15504,      -5308
      -6067,     -15222
       7674,     -14481
