bf000000,           0,           0, 0
beef7bdf,        -128,        -128, 1
bedef7be,        -119,        -119, 1
bece739d,        -111,        -111, 1
bebdef7c,        -103,        -103, 1
bead6b5b,         -94,         -94, 1
be9ce73a,         -86,         -86, 1
be8c6319,         -78,         -78, 1
be77bdef,         -70,         -70, 1
be56b5ad,         -61,         -61, 1
be35ad6b,         -53,         -53, 1
be14a529,         -45,         -45, 1
bde739ce,         -37,         -37, 1
bda5294a,         -28,         -28, 1
bd46318c,         -20,         -20, 1
bc842108,         -12,         -12, 1
3c842108,          -4,          -4, 1
3d46318c,           4,           4, 1
3da5294a,          12,          12, 1
3de739ce,          20,          20, 1
3e14a529,          28,          28, 1
3e35ad6b,          37,          37, 1
3e56b5ad,          45,          45, 1
3e77bdef,          53,          53, 1
3e8c6319,          61,          61, 1
3e9ce73a,          70,          70, 1
3ead6b5b,          78,          78, 1
3ebdef7c,          86,          86, 1
3ece739d,          94,          94, 1
3edef7be,         103,         103, 1
3eef7bdf,         111,         111, 1
3f000000,         119,         119, 1
3f000000,         128,         128, 1
