<<<<<<< Updated upstream
        351,           0, 1, 0
        -52,         119, 1, 0
        -50,          49, 1, 0
        -49,          20, 1, 0
        -51,           0, 1, 0
        -48,         -19, 1, 0
        -50,         -49, 1, 0
        -51,        -120, 1, 0
         30,           0, 1, 1
         26,          16, 1, 1
         19,          41, 1, 1
        -59,         103, 1, 1
         -4,           0, 1, 1
        -58,        -102, 1, 1
         19,         -41, 1, 1
         27,         -17, 1, 1
       1097,           0, 1, 0
        -48,         100, 1, 0
        -43,          42, 1, 0
        -41,          19, 1, 0
        -43,           0, 1, 0
        -40,         -18, 1, 0
        -43,         -42, 1, 0
        -47,        -101, 1, 0
        -48,           0, 1, 1
        -44,         -30, 1, 1
        -23,         -69, 1, 1
        115,        -171, 1, 1
       -690,           0, 1, 1
        116,         172, 1, 1
        -23,          69, 1, 1
        -43,          29, 1, 1
       1673,           0, 1, 0
        -37,          66, 1, 0
        -30,          27, 1, 0
        -28,          11, 1, 0
        -29,           0, 1, 0
        -27,         -10, 1, 0
        -30,         -27, 1, 0
        -36,         -67, 1, 0
        -42,           0, 1, 1
        -47,          -6, 1, 1
        -74,         -12, 1, 1
       -270,         -49, 1, 1
       1270,           0, 1, 1
       -269,          50, 1, 1
        -74,          12, 1, 1
        -46,           5, 1, 1
       1991,           0, 1, 0
        -20,          21, 1, 0
        -12,           9, 1, 0
        -11,           4, 1, 0
        -11,           0, 1, 0
        -10,          -3, 1, 0
        -12,          -9, 1, 0
        -19,         -22, 1, 0
        168,           0, 1, 1
        174,          59, 1, 1
        200,         148, 1, 1
        379,         418, 1, 1
      -1092,           0, 1, 1
        380,        -417, 1, 1
        200,        -148, 1, 1
        175,         -60, 1, 1
       2000,           0, 1, 0
          2,         -27, 1, 0
          8,         -10, 1, 0
          9,          -6, 1, 0
          8,           0, 1, 0
         10,           7, 1, 0
          8,          10, 1, 0
          3,          26, 1, 0
       -235,           0, 1, 1
       -238,         -95, 1, 1
       -248,        -233, 1, 1
       -331,        -646, 1, 1
        211,           0, 1, 1
       -330,         647, 1, 1
       -248,         233, 1, 1
       -237,          94, 1, 1
       1701,           0, 1, 0
         22,         -71, 1, 0
         26,         -29, 1, 0
         27,         -12, 1, 0
         27,           0, 1, 0
         28,          13, 1, 0
         26,          29, 1, 0
         23,          70, 1, 0
        185,           0, 1, 1
        183,          81, 1, 1
        179,         200, 1, 1
        156,         564, 1, 1
        657,           0, 1, 1
        157,        -563, 1, 1
        179,        -200, 1, 1
        184,         -82, 1, 1
       1139,           0, 1, 0
         37,        -103, 1, 0
         41,         -42, 1, 0
         42,         -16, 1, 0
         43,           0, 1, 0
         43,          17, 1, 0
         41,          42, 1, 0
         38,         102, 1, 0
        -75,           0, 1, 1
        -72,         -38, 1, 1
        -61,         -94, 1, 1
          7,        -283, 1, 1
       -827,           0, 1, 1
          8,         284, 1, 1
        -61,          94, 1, 1
        -71,          37, 1, 1
        401,           0, 1, 0
         46,        -122, 1, 0
         49,         -50, 1, 0
         51,         -21, 1, 0
         49,           0, 1, 0
         52,          22, 1, 0
         49,          50, 1, 0
         47,         121, 1, 0
          8,           0, 1, 1
          7,           6, 1, 1
          2,          20, 1, 1
        -38,          89, 1, 1
        280,           0, 1, 1
        -37,         -88, 1, 1
          2,         -20, 1, 1
          8,          -7, 1, 1
       -401,           0, 1, 0
         51,        -120, 1, 0
         50,         -49, 1, 0
         50,         -21, 1, 0
         49,           0, 1, 0
         51,          22, 1, 0
         50,          49, 1, 0
         52,         119, 1, 0
        -44,           0, 1, 1
        -47,         -19, 1, 1
        -47,         -49, 1, 1
        -50,        -160, 1, 1
        314,           0, 1, 1
        -49,         161, 1, 1
        -47,          49, 1, 1
        -46,          18, 1, 1
      -1139,           0, 1, 0
         44,        -101, 1, 0
         42,         -41, 1, 0
         41,         -18, 1, 0
         43,           0, 1, 0
         42,          19, 1, 0
         42,          41, 1, 0
         45,         100, 1, 0
        136,           0, 1, 1
        136,          57, 1, 1
        136,         144, 1, 1
        125,         408, 1, 1
       -252,           0, 1, 1
        126,        -407, 1, 1
        136,        -144, 1, 1
        137,         -58, 1, 1
      -1701,           0, 1, 0
         32,         -66, 1, 0
         29,         -26, 1, 0
         27,         -11, 1, 0
         27,           0, 1, 0
         28,          12, 1, 0
         29,          26, 1, 0
         33,          65, 1, 0
       -176,           0, 1, 1
       -176,         -82, 1, 1
       -161,        -199, 1, 1
        -65,        -551, 1, 1
       -518,           0, 1, 1
        -64,         552, 1, 1
       -161,         199, 1, 1
       -175,          81, 1, 1
      -2000,           0, 1, 0
         15,         -22, 1, 0
         10,          -8, 1, 0
         10,          -3, 1, 0
          8,           0, 1, 0
         11,           4, 1, 0
         10,           8, 1, 0
         16,          21, 1, 0
        104,           0, 1, 1
        100,          57, 1, 1
         72,         144, 1, 1
       -121,         394, 1, 1
       1344,           0, 1, 1
       -120,        -393, 1, 1
         72,        -144, 1, 1
        101,         -58, 1, 1
      -1991,           0, 1, 0
         -4,          28, 1, 0
         -9,          12, 1, 0
        -11,           5, 1, 0
        -11,           0, 1, 0
        -10,          -4, 1, 0
         -9,         -12, 1, 0
         -3,         -29, 1, 0
         34,           0, 1, 1
         40,          -2, 1, 1
         73,          -5, 1, 1
        299,         -19, 1, 1
      -1492,           0, 1, 1
        300,          20, 1, 1
         73,           5, 1, 1
         41,           1, 1, 1
      -1673,           0, 1, 0
        -23,          71, 1, 0
        -27,          30, 1, 0
        -28,          12, 1, 0
        -29,           0, 1, 0
        -27,         -11, 1, 0
        -27,         -30, 1, 0
        -22,         -72, 1, 0
       -134,           0, 1, 1
       -140,         -45, 1, 1
       -164,        -110, 1, 1
       -339,        -290, 1, 1
        842,           0, 1, 1
       -338,         291, 1, 1
       -164,         110, 1, 1
       -139,          44, 1, 1
      -1097,           0, 1, 0
        -38,         103, 1, 0
        -42,          43, 1, 0
        -43,          16, 1, 0
        -43,           0, 1, 0
        -42,         -15, 1, 0
        -42,         -43, 1, 0
        -37,        -104, 1, 0
        126,           0, 1, 1
        128,          48, 1, 1
        141,         119, 1, 1
        233,         321, 1, 1
        -12,           0, 1, 1
        234,        -320, 1, 1
        141,        -119, 1, 1
        129,         -49, 1, 1
       -351,           0, 1, 0
        -50,         120, 1, 0
        -49,          50, 1, 0
        -49,          21, 1, 0
        -51,           0, 1, 0
        -48,         -20, 1, 0
        -49,         -50, 1, 0
        -49,        -121, 1, 0
        -45,           0, 1, 1
        -47,         -18, 1, 1
        -52,         -41, 1, 1
