         -8,           0, 1
        -22,         -18, 1
        -13,          -8, 1
        -14,          -6, 1
        -10,          -3, 1
        -10,          -1, 1
         -7,          -4, 1
        -16,          -4, 1
        -13,          -4, 1
        -16,          -4, 1
        -15,          -7, 1
        -23,          -7, 1
        -23,         -11, 1
        -33,          -8, 1
        -40,         -23, 1
        -60,         -35, 1
       -102,         -58, 1
       -203,        -125, 1
       -755,        -514, 1
       4053,        2913, 1
      -2168,       -1639, 1
       -272,        -213, 1
       -102,         -87, 1
        -51,         -45, 1
        -32,         -27, 1
        -23,         -17, 1
        -16,          -8, 1
        -14,          -6, 1
        -10,          -6, 1
         -9,          -4, 1
         -7,          -4, 1
         -2,           5, 1
         -4,           0, 1
         -2,           0, 1
         -7,           2, 1
        -12,           2, 1
        -10,           5, 1
        -10,          11, 1
        -17,          12, 1
        -22,          20, 1
        -31,          28, 1
        -52,          50, 1
       -101,          89, 1
       -269,         217, 1
      -2167,        1639, 1
       4057,       -2914, 1
       -758,         521, 1
       -204,         125, 1
       -102,          58, 1
        -57,          31, 1
        -41,          20, 1
        -23,          15, 1
        -20,          13, 1
        -20,           7, 1
        -14,           7, 1
        -11,           9, 1
        -12,           3, 1
         -9,           3, 1
         -4,           2, 1
        -10,           0, 1
         -8,           2, 1
         -7,           2, 1
         -7,           2, 1
        -10,          -3, 1
          5,           0, 1
        -10,         -14, 1
          1,          -6, 1
         -1,          -8, 1
          2,          -2, 1
          6,           4, 1
          7,           6, 1
          3,           6, 1
          6,           7, 1
         10,          13, 1
          9,          13, 1
          4,          23, 1
          8,          27, 1
          3,          28, 1
          0,          44, 1
         -1,          66, 1
        -10,         113, 1
        -32,         238, 1
       -203,         894, 1
       1472,       -4763, 1
       -991,        2529, 1
       -149,         311, 1
        -65,         116, 1
        -41,          58, 1
        -27,          36, 1
        -19,          20, 1
        -18,          14, 1
        -17,           8, 1
        -14,           5, 1
        -13,          10, 1
         -9,           3, 1
         -5,          -2, 1
         -9,           0, 1
         -6,           2, 1
         -9,           0, 1
        -11,          -8, 1
        -14,          -4, 1
        -14,          -6, 1
        -17,         -14, 1
        -17,         -22, 1
        -26,         -35, 1
        -42,         -65, 1
        -65,        -111, 1
       -152,        -311, 1
       -990,       -2527, 1
       1475,        4772, 1
       -202,        -896, 1
        -35,        -236, 1
        -10,        -113, 1
          4,         -62, 1
          3,         -44, 1
          8,         -33, 1
         11,         -27, 1
          5,         -13, 1
          7,         -12, 1
          7,         -10, 1
          7,          -8, 1
          7,          -4, 1
         10,          -8, 1
          9,          -4, 1
          4,          -1, 1
          7,          -2, 1
          7,           1, 1
          9,           4, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
